Parameter;Value;1-sigma errorCount;2-sigma errorCount;3-sigma errorCount;;s;I;Ifit;abwAbs;abwRel
0.95574403428099;1603.49240783693;;;;;0.95574403428099;1617.46918;1603.49240783693;13.9767721630712;0.00864113662003207
0.963363451354479;1599.57141863897;;;;;0.963363451354479;1613.631006;1599.57141863897;14.0595873610309;0.00871301264586071
0.970909647702629;1594.4274108045;;;;;0.970909647702629;1608.968012;1594.4274108045;14.5406011955019;0.00903722204982031
0.978381827290003;1589.217317346;;;;;0.978381827290003;1604.213339;1589.217317346;14.9960216540048;0.00934789737090251
0.985779671944263;1584.53397513517;;;;;0.985779671944263;1599.759624;1584.53397513517;15.2256488648345;0.00951746039618419
0.993102226587595;1580.55073400506;;;;;0.993102226587595;1595.744544;1580.55073400506;15.1938099949432;0.00952145508005772
1.00034917276116;1577.24465725571;;;;;1.00034917276116;1592.175807;1577.24465725571;14.9311497442852;0.00937782729686033
1.00752003325343;1574.53936115375;;;;;1.00752003325343;1589.017757;1574.53936115375;14.4783958462458;0.00911153810740317
1.01461417044282;1572.34671229859;;;;;1.01461417044282;1586.220792;1572.34671229859;13.8740797014109;0.00874662579849154
1.02163094918845;1570.59933698395;;;;;1.02163094918845;1583.73987;1570.59933698395;13.1405330160533;0.0082971536329721
1.02857004924314;1569.23443532444;;;;;1.02857004924314;1581.535203;1569.23443532444;12.3007676755581;0.00777773877699646
1.03543067676919;1568.20800024929;;;;;1.03543067676919;1579.572458;1568.20800024929;11.3644577507052;0.00719464162162876
1.04221251146201;1567.47975602759;;;;;1.04221251146201;1577.823761;1567.47975602759;10.3440049724079;0.00655586842338591
1.04891507712188;1567.01890720477;;;;;1.04891507712188;1576.265873;1567.01890720477;9.24696579522742;0.00586637441920144
1.05553773690276;1566.80196043285;;;;;1.05553773690276;1574.878464;1566.80196043285;8.0765035671518;0.00512833450438992
1.06207985353569;1566.80481713693;;;;;1.06207985353569;1573.646408;1566.80481713693;6.84159086306818;0.00434760364735518
1.06854126838208;1567.0127489776;;;;;1.06854126838208;1572.554229;1567.0127489776;5.54148002240026;0.00352387213121683
