Parameter;Value;1-sigma errorCount;2-sigma errorCount;3-sigma errorCount;;s;I;Ifit;abwAbs;abwRel
0.191761059881593;2798.14849053728;;;;;0.191761059881593;2798.159859;2798.14849053728;0.0113684627231123;4.06283532606145e-06
0.192880700977079;2799.35355060025;;;;;0.192880700977079;2799.357457;2799.35355060025;0.00390639975466911;1.39546299987551e-06
0.19400018283567;2801.09218899028;;;;;0.19400018283567;2801.07817;2801.09218899028;-0.0140189902836028;-5.00485507107528e-06
0.195119505616708;2803.39742671357;;;;;0.195119505616708;2803.394416;2803.39742671357;-0.00301071357353067;-1.07395290378957e-06
0.196238669143473;2806.26476418255;;;;;0.196238669143473;2806.243748;2806.26476418255;-0.02101618254801;-7.48907950814612e-06
0.197357832672223;2809.70687800001;;;;;0.197357832672223;2809.689171;2809.70687800001;-0.017707000007249;-6.30212060110083e-06
0.198476677921099;2813.76424665899;;;;;0.198476677921099;2813.740592;2813.76424665899;-0.0236546589931095;-8.40683716912788e-06
0.199595363943287;2818.44434865896;;;;;0.199595363943287;2818.430767;2818.44434865896;-0.0135816589595379;-4.81887265728174e-06
0.200714050041235;2823.68649140051;;;;;0.200714050041235;2823.683893;2823.68649140051;-0.00259840050875937;-9.2021649987128e-07
0.201832417725642;2829.54141562911;;;;;0.201832417725642;2829.532828;2829.54141562911;-0.00858762911411759;-3.03499893308804e-06
0.20295078530911;2836.0966141831;;;;;0.20295078530911;2836.098184;2836.0966141831;0.00156981689724489;5.53512888270617e-07
0.204068993915104;2843.22142808522;;;;;0.204068993915104;2843.219748;2843.22142808522;-0.00168008522086893;-5.90909380835143e-07
0.205186883972162;2851.0392531122;;;;;0.205186883972162;2851.029879;2851.0392531122;-0.0093741121986568;-3.28797402921108e-06
0.206304774218782;2859.49568162484;;;;;0.206304774218782;2859.541132;2859.49568162484;0.0454503751579978;1.58942896989242e-05
0.207422345937024;2868.64897951516;;;;;0.207422345937024;2868.646845;2868.64897951516;-0.00213451516128771;-7.44084328472893e-07
0.208539917775336;2878.41128769949;;;;;0.208539917775336;2878.422133;2878.41128769949;0.0108453005136653;3.76779360793821e-06
0.209657330406859;2888.86962646091;;;;;0.209657330406859;2888.910686;2888.86962646091;0.0410595390922026;1.4212810140231e-05
0.210774424706643;2899.97865126553;;;;;0.210774424706643;2900.011356;2899.97865126553;0.0327047344685525;1.12774504833879e-05
0.211891518962768;2911.80064314638;;;;;0.211891518962768;2911.761423;2911.80064314638;-0.0392201463769197;-1.34695604066734e-05
0.213008294905333;2924.18325270421;;;;;0.213008294905333;2924.228333;2924.18325270421;0.0450802957857377;1.54161339855049e-05
0.214125070841599;2937.35234741845;;;;;0.214125070841599;2937.345105;2937.35234741845;-0.00724241845045981;-2.46563416676224e-06
0.215241687556364;2951.12614564163;;;;;0.215241687556364;2951.123228;2951.12614564163;-0.00291764162739128;-9.8865462468966e-07
0.216357986038655;2965.55413681075;;;;;0.216357986038655;2965.547678;2965.55413681075;-0.00645881074797217;-2.17794871277472e-06
0.217474284455093;2980.64680815837;;;;;0.217474284455093;2980.637276;2980.64680815837;-0.00953215837444077;-3.19802696262085e-06
0.218590264431402;2996.36312877584;;;;;0.218590264431402;2996.336874;2996.36312877584;-0.0262547758388791;-8.76229107170783e-06
0.21970608528195;3012.68400531173;;;;;0.21970608528195;3012.653669;3012.68400531173;-0.0303363117332083;-1.00696313171895e-05
0.220821906225636;3029.64528022206;;;;;0.220821906225636;3029.632735;3029.64528022206;-0.0125452220604529;-4.14083922302646e-06
0.221937408694718;3047.14819178994;;;;;0.221937408694718;3047.143145;3047.14819178994;-0.00504678993775087;-1.65623657885323e-06
0.223052752042751;3065.27136939296;;;;;0.223052752042751;3065.2553;3065.27136939296;-0.0160693929574336;-5.24243215807623e-06
0.224167936196142;3083.9158691655;;;;;0.224167936196142;3083.893799;3083.9158691655;-0.0220701655034645;-7.15659064220082e-06
0.225283120386583;3103.10174889519;;;;;0.225283120386583;3103.087155;3103.10174889519;-0.0145938951864082;-4.70302458727048e-06
0.226397986238133;3122.80623185706;;;;;0.226397986238133;3122.785778;3122.80623185706;-0.0204538570555997;-6.5498751786616e-06
0.227512692894535;3142.94733074386;;;;;0.227512692894535;3142.939812;3142.94733074386;-0.00751874385696283;-2.39226466515701e-06
0.228627081160329;3163.54084218895;;;;;0.228627081160329;3163.535453;3163.54084218895;-0.00538918895472307;-1.70353360497745e-06
0.229741469447832;3184.55156655993;;;;;0.229741469447832;3184.545011;3184.55156655993;-0.00655555993034795;-2.05855464680319e-06
0.230855698647227;3205.91073638964;;;;;0.230855698647227;3205.895693;3205.91073638964;-0.0150433896446884;-4.69241394145646e-06
0.23196960941402;3227.59258096878;;;;;0.23196960941402;3227.590008;3227.59258096878;-0.00257296878135094;-7.97179559663247e-07
0.233083520120517;3249.6092157525;;;;;0.233083520120517;3249.596944;3249.6092157525;-0.0122717525000553;-3.7763921838718e-06
